"ticker","date","open","high","low","close","adj_close","volume"
"AAPL","2022-01-03","174.9639591","179.9325725","174.8458979","179.0765839","179.0765839","104487900"
"AAPL","2022-01-04","179.686619","179.9916204","176.2331789","176.803833","176.803833","99310400"
"AAPL","2022-01-05","176.7152756","177.2662478","171.8253745","172.1008606","172.1008606","94537600"
"AAPL","2022-01-06","169.9166205","172.4747227","168.8737067","169.2279053","169.2279053","96904000"
"AAPL","2022-01-07","170.1035539","171.3334078","168.2735307","169.3951569","169.3951569","86709100"
"AAPL","2022-01-10","166.3549785","169.7198574","165.4596412","169.414856","169.414856","106765600"
"AAPL","2022-01-11","169.5427881","172.3566801","168.0669631","172.2583008","172.2583008","76138300"
"AAPL","2022-01-12","173.2815374","174.3244514","172.002501","172.7010498","172.7010498","74805200"
"AAPL","2022-01-13","172.9469932","173.7734515","169.0212937","169.414856","169.414856","84505800"
"AAPL","2022-01-14","168.5785868","170.9792648","168.3326159","170.2807159","170.2807159","80440800"
"AAPL","2022-01-18","168.7458016","169.7592001","166.6796559","167.0633698","167.0633698","90956700"
"AAPL","2022-01-19","167.2601785","168.3227743","163.2656143","163.5509338","163.5509338","94815000"
"AAPL","2022-01-20","164.2888201","166.9453019","161.533944","161.8586273","161.8586273","91420500"
"AAPL","2022-01-21","161.7700804","163.649301","159.6842527","159.7924805","159.7924805","122848900"
"AAPL","2022-01-24","157.441039","159.6842921","152.2067716","159.0152435","159.0152435","162294600"
"AAPL","2022-01-25","156.4177549","160.1368324","154.4893521","157.2048645","157.2048645","115798400"
"AAPL","2022-01-26","160.8649261","161.7405817","155.276476","157.116333","157.116333","108275300"
"AAPL","2022-01-27","159.831839","161.1994362","155.7290474","156.6539001","156.6539001","121954600"
"AAPL","2022-01-28","163.0393178","167.604536","160.1762136","167.5848541","167.5848541","179935700"
"AAPL","2022-01-31","167.4175835","172.179575","166.7780504","171.9631195","171.9631195","115541600"
"AAPL","2022-02-01","171.2055471","172.0221722","169.5329483","171.7958832","171.7958832","86213900"
"AAPL","2022-02-02","171.9335981","173.045391","170.5364857","173.0060272","173.0060272","84914300"
"AAPL","2022-02-03","171.6679406","173.3995847","169.3459756","170.1134033","170.1134033","89418100"
"AAPL","2022-02-04","169.1282897","171.5123342","168.1431529","169.8277435","169.8277435","82465400"
"AAPL","2022-02-07","170.290758","171.3645536","168.409143","169.1085968","169.1085968","77251200"
"AAPL","2022-02-08","169.1775456","172.7437512","168.8820015","172.2314758","172.2314758","74829200"
"AAPL","2022-02-09","173.4333653","174.0244385","172.3004488","173.6599426","173.6599426","71285000"
"AAPL","2022-02-10","171.5517176","172.8717972","169.0002169","169.5617371","169.5617371","90865900"
"AAPL","2022-02-11","169.7686414","170.5074941","165.5423957","166.1334839","166.1334839","98670700"
"AAPL","2022-02-14","164.8823374","167.0594963","164.084379","166.3699036","166.3699036","86185500"
"AAPL","2022-02-15","168.4288453","170.379412","167.7195456","170.2217865","170.2217865","62527400"
"AAPL","2022-02-16","169.295774","170.7636183","167.5225247","169.9853668","169.9853668","61177400"
"AAPL","2022-02-17","168.4879416","169.3548668","165.9659939","166.3699036","166.3699036","69589300"
"AAPL","2022-02-18","167.2959184","168.005203","163.7198674","164.8133698","164.8133698","82772700"
"AAPL","2022-02-22","162.5278644","164.2124549","159.7399255","161.8776855","161.8776855","91162800"
"AAPL","2022-02-23","163.0795415","163.6804755","157.3756059","157.6908569","157.6908569","90009200"
"AAPL","2022-02-24","150.3121593","160.4295174","149.7407782","160.3211517","160.3211517","141147500"
"AAPL","2022-02-25","161.404813","162.6657869","158.4789554","162.3998108","162.3998108","91974200"
"AAPL","2022-02-28","160.6364073","162.9613308","160.0157663","162.6657867","162.6657867","95056600"
"AAPL","2022-03-01","162.2520123","164.1237811","159.5625933","160.7743073","160.7743073","83474400"
"AAPL","2022-03-02","161.9466511","164.8725089","160.5280516","164.0843964","164.0843964","79724800"
"AAPL","2022-03-03","165.9660045","166.3994671","163.0894068","163.7592926","163.7592926","76678400"
"AAPL","2022-03-04","162.045154","163.0893966","159.6906777","160.7447662","160.7447662","83737200"
"AAPL","2022-03-07","160.9319498","162.5672805","156.6761516","156.9322968","156.9322968","96418800"
"AAPL","2022-03-08","156.4594079","160.4590603","153.4842911","155.0999146","155.0999146","131148300"
"AAPL","2022-03-09","159.079863","160.9811846","157.040638","160.5280151","160.5280151","91454900"
"AAPL","2022-03-10","157.8189019","158.0060803","153.6616237","156.1638794","156.1638794","105342000"
"AAPL","2022-03-11","156.5677777","156.9125816","152.2036291","152.4302063","152.4302063","96970100"
"AAPL","2022-03-14","149.1989826","151.8292963","147.8690568","148.3813171","148.3813171","108732100"
"AAPL","2022-03-15","148.6571406","153.2577428","148.1448803","152.7848663","152.7848663","92964300"
"AAPL","2022-03-16","154.715731","157.6218815","152.1642304","157.2179718","157.2179718","102300200"
"AAPL","2022-03-17","156.2525465","158.6070228","155.2871166","158.232666","158.232666","75615400"
"AAPL","2022-03-18","158.1243137","162.0353083","157.3854611","161.5427399","161.5427399","123511700"
"AAPL","2022-03-21","161.079735","163.8775353","160.5871665","162.9219513","162.9219513","95811400"
"AAPL","2022-03-22","163.0499758","166.901864","162.4589028","166.310791","166.310791","81532000"
"AAPL","2022-03-23","165.4931403","170.0740205","165.1581824","167.6801453","167.6801453","98062700"
"AAPL","2022-03-24","168.5175014","171.5517246","167.6801441","171.4827728","171.4827728","90131400"
"AAPL","2022-03-25","171.2955966","172.6747821","170.1823872","172.1231079","172.1231079","80546200"
"AAPL","2022-03-28","169.6109789","173.118063","169.4435075","172.9900055","172.9900055","90371900"
"AAPL","2022-03-29","174.0638298","176.3493394","173.7190259","176.3000946","176.3000946","100589400"
"AAPL","2022-03-30","175.8961826","176.9404252","174.0736735","175.1277771","175.1277771","92633200"
"AAPL","2022-03-31","175.1967277","175.3839061","171.8078546","172.01474","172.01474","103049300"
"AAPL","2022-04-01","171.4433706","172.280743","169.3844382","171.7192078","171.7192078","78751300"
"AAPL","2022-04-04","171.9753218","175.8370559","171.8472492","175.787796","175.787796","76468400"
"AAPL","2022-04-05","174.8617744","175.6498868","171.8275514","172.4580383","172.4580383","73401800"
"AAPL","2022-04-06","169.7981833","171.0493113","167.6013324","169.276062","169.276062","89058800"
"AAPL","2022-04-07","168.6160215","170.7833195","167.3254947","169.5814514","169.5814514","77594700"
"AAPL","2022-04-08","169.2268038","169.2268038","166.685149","167.5619202","167.5619202","76575500"
"AAPL","2022-04-11","166.2024187","166.5176546","163.0401233","163.2864075","163.2864075","72246700"
"AAPL","2022-04-12","165.5226949","167.345189","164.1632013","165.168045","165.168045","79265200"
"AAPL","2022-04-13","164.9020681","168.4978119","164.291288","167.8673248","167.8673248","70618900"
"AAPL","2022-04-14","168.0840486","168.7243965","162.586983","162.8332672","162.8332672","75329400"
"AAPL","2022-04-18","161.4836151","164.1237894","161.1388262","162.6165314","162.6165314","69023900"
"AAPL","2022-04-19","162.5672954","165.3256817","161.4737929","164.911911","164.911911","67723800"
"AAPL","2022-04-20","166.2516887","166.3699154","163.6312361","164.7444305","164.7444305","67929800"
"AAPL","2022-04-21","166.3994838","168.9805378","163.444073","163.9464874","163.9464874","87227800"
"AAPL","2022-04-22","163.985871","165.3749024","159.0995861","159.3852692","159.3852692","84882400"
"AAPL","2022-04-25","158.7252558","160.7447895","156.1048031","160.4591064","160.4591064","96046400"
"AAPL","2022-04-26","159.8384444","159.9271031","154.3906392","154.4694519","154.4694519","95623200"
"AAPL","2022-04-27","153.5926803","157.4150008","153.070559","154.2428741","154.2428741","88063200"
"AAPL","2022-04-28","156.883044","162.0747194","156.567793","161.2077942","161.2077942","130216800"
"AAPL","2022-04-29","159.434534","163.729731","154.9127598","155.3068085","155.3068085","131747600"
"AAPL","2022-05-02","154.3807922","155.8781892","150.9919192","155.6122131","155.6122131","123055300"
"AAPL","2022-05-03","155.7993853","158.3213483","153.9965981","157.1096191","157.1096191","88966500"
"AAPL","2022-05-04","157.2967893","164.0055684","156.8928796","163.5524139","163.5524139","108256500"
"AAPL","2022-05-05","161.4146658","161.641243","152.6469395","154.4398956","154.4398956","130525300"
"AAPL","2022-05-06","153.9169863","157.3009777","152.1115355","155.1699524","155.1699524","116124600"
"AAPL","2022-05-09","152.8514808","153.7394156","149.4576439","150.019989","150.019989","131577900"
"AAPL","2022-05-10","153.4335782","154.6372121","150.8783137","152.4371185","152.4371185","115366700"
"AAPL","2022-05-11","151.4406814","153.3645176","143.8538461","144.5345917","144.5345917","142689800"
"AAPL","2022-05-12","140.8546503","144.2386273","136.9379092","140.6474609","140.6474609","182602000"
"AAPL","2022-05-13","142.650187","146.1131067","141.1900468","145.1363831","145.1363831","113990900"
"AAPL","2022-05-16","143.5973541","145.5409265","142.2457233","143.5874786","143.5874786","86643800"
"AAPL","2022-05-17","146.8629471","147.7607425","144.7121854","147.237854","147.237854","78336300"
"AAPL","2022-05-18","144.8799032","145.3830558","138.0231306","138.9308014","138.9308014","109742900"
"AAPL","2022-05-19","138.0034117","139.7595305","134.7674165","135.5073547","135.5073547","136095600"
"AAPL","2022-05-20","137.2239709","138.8123718","130.8309105","135.7440948","135.7440948","137426100"
"AAPL","2022-05-23","135.9414284","141.3380451","135.8033072","141.1900635","141.1900635","117726300"
"AAPL","2022-05-24","138.9209191","140.0653604","135.4876103","138.4769592","138.4769592","104132700"
"AAPL","2022-05-25","136.5728541","139.8877779","136.4840651","138.6348267","138.6348267","92482700"
"AAPL","2022-05-26","135.5468018","142.403559","135.3001558","141.8510742","141.8510742","90601500"
"AAPL","2022-05-27","143.4394638","147.671903","143.3112031","147.6324463","147.6324463","90978500"
"AAPL","2022-05-31","147.0701106","148.6387759","144.8700171","146.8431854","146.8431854","103718400"
"AAPL","2022-06-01","147.8889732","149.7042996","145.6987549","146.7149506","146.7149506","74286600"
"AAPL","2022-06-02","145.8467671","149.2406197","144.889779","149.181427","149.181427","72348100"
"AAPL","2022-06-03","144.9292083","145.9848606","142.5219556","143.4296112","143.4296112","88570300"
"AAPL","2022-06-06","145.0574875","146.5768358","142.9560582","144.1794281","144.1794281","71598400"
"AAPL","2022-06-07","142.4134426","147.0010534","142.1667966","146.7149506","146.7149506","67808200"
"AAPL","2022-06-08","146.5866682","147.859355","145.4816988","145.9749908","145.9749908","53950200"
"AAPL","2022-06-09","145.1068317","145.9651553","140.6178698","140.7263947","140.7263947","69473000"
"AAPL","2022-06-10","138.3980483","138.8716046","135.2212456","135.2903137","135.2903137","91437900"
"AAPL","2022-06-13","131.0874418","133.3861848","129.6766336","130.110733","130.110733","122207100"
"AAPL","2022-06-14","131.3439893","132.0937881","129.716116","130.9789429","130.9789429","84784300"
"AAPL","2022-06-15","132.4883624","135.4974467","130.3869487","133.6130676","133.6130676","91533000"
"AAPL","2022-06-16","130.3080441","130.6138828","127.3088197","128.3151398","128.3151398","108123900"
"AAPL","2022-06-17","128.3249975","131.2946102","128.068476","129.7949982","129.7949982","134520300"
"AAPL","2022-06-21","131.630082","135.2212485","131.5314326","134.0472107","134.0472107","81000500"
"AAPL","2022-06-22","132.9816647","135.9118207","132.1134809","133.5341644","133.5341644","73409200"
"AAPL","2022-06-23","134.9844644","136.7307077","133.8104267","136.4150085","136.4150085","72433800"
"AAPL","2022-06-24","138.0231086","140.0061522","137.8948629","139.7595062","139.7595062","89116800"
"AAPL","2022-06-27","140.7855471","141.5649569","139.0787608","139.7595062","139.7595062","70207900"
"AAPL","2022-06-28","140.2232125","141.4958995","135.4777451","135.5961304","135.5961304","67083400"
"AAPL","2022-06-29","135.6158934","138.7828207","134.8364833","137.3621368","137.3621368","66242400"
"AAPL","2022-06-30","135.408707","136.5136767","131.9753976","134.8858185","134.8858185","98964500"
"AAPL","2022-07-01","134.2149338","137.174687","133.840042","137.0661621","137.0661621","71051600"
"AAPL","2022-07-05","135.9217106","139.7101904","135.0929685","139.6608582","139.6608582","73353800"
"AAPL","2022-07-06","139.4536648","142.1864919","139.1872829","141.002594","141.002594","74064300"
"AAPL","2022-07-07","141.3676515","144.5839258","141.357791","144.3866119","144.3866119","66253700"
"AAPL","2022-07-08","143.3112033","145.5704893","143.0546968","145.0673218","145.0673218","64547800"
"AAPL","2022-07-11","143.715723","144.6727109","141.8510794","142.9264526","142.9264526","63141600"
"AAPL","2022-07-12","143.8045185","146.4584326","143.1040521","143.903183","143.903183","77588800"
"AAPL","2022-07-13","141.0716714","144.4852441","140.2133329","143.5381317","143.5381317","71185600"
"AAPL","2022-07-14","142.1470456","146.9517056","141.328179","146.4781494","146.4781494","78140700"
"AAPL","2022-07-15","147.7705825","148.8360952","146.2117776","148.1553497","148.1553497","76259900"
"AAPL","2022-07-18","148.7177168","149.5365835","144.7319079","145.0969543","145.0969543","81420900"
"AAPL","2022-07-19","145.9355166","149.2011075","144.9390721","148.9741974","148.9741974","82982400"
"AAPL","2022-07-20","149.092622","151.6577474","148.3526838","150.9868622","150.9868622","64823400"
"AAPL","2022-07-21","152.4272665","153.4829189","149.9016132","153.2658691","153.2658691","65086600"
"AAPL","2022-07-22","153.3053287","154.1833881","151.351896","152.0227661","152.0227661","66675400"
"AAPL","2022-07-25","151.9438329","152.9600135","150.2370464","150.898056","150.898056","53623900"
"AAPL","2022-07-26","150.2173269","151.0361937","148.7769221","149.5661926","149.5661926","55138700"
"AAPL","2022-07-27","150.5330274","155.2193026","150.1186638","154.6865387","154.6865387","78620700"
"AAPL","2022-07-28","154.8739825","155.5251317","152.338469","155.2390289","155.2390289","81378700"
"AAPL","2022-07-29","159.0768371","161.4347727","157.3601753","160.3297882","160.3297882","101786900"
"AAPL","2022-08-01","158.849939","161.3953284","158.7315537","159.3432312","159.3432312","67829400"
"AAPL","2022-08-02","157.9521463","160.2311535","157.4884505","157.8633423","157.8633423","59907000"
"AAPL","2022-08-03","158.6822208","164.3550807","158.5934318","163.9012604","163.9012604","82507500"
"AAPL","2022-08-04","163.7828241","164.9470012","162.2240194","163.5855103","163.5855103","55474100"
"AAPL","2022-08-05","161.2440695","163.8522689","161.0365924","163.3582916","163.3582916","56697000"
"AAPL","2022-08-08","164.3659956","165.7886525","162.222136","162.8840637","162.8840637","60276900"
"AAPL","2022-08-09","162.0443337","163.8226552","161.2836044","162.9334869","162.9334869","63135500"
"AAPL","2022-08-10","165.6602247","167.300233","164.8896212","167.2014465","167.2014465","70170500"
"AAPL","2022-08-11","168.0115761","168.9303818","166.1641056","166.460495","166.460495","57149200"
"AAPL","2022-08-12","167.7744575","170.0961418","167.3595033","170.0269928","170.0269928","68039400"
"AAPL","2022-08-15","169.4539841","171.3014545","169.2860337","171.1038666","171.1038666","54091700"
"AAPL","2022-08-16","170.6987969","171.6176025","169.5922925","170.9457855","170.9457855","56377100"
"AAPL","2022-08-17","170.6889213","174.0281976","170.4913334","172.4474792","172.4474792","79542000"
"AAPL","2022-08-18","171.6571313","172.7932732","171.034715","172.0523071","172.0523071","62290100"
"AAPL","2022-08-19","170.9458009","171.6472554","169.2465176","169.4539948","169.4539948","70346300"
"AAPL","2022-08-22","167.6460184","167.8139688","165.1267311","165.5515594","165.5515594","69026800"
"AAPL","2022-08-23","165.0674653","166.6778362","164.642637","165.2156525","165.2156525","54147100"
"AAPL","2022-08-24","165.3045467","166.0850241","164.2474282","165.5120087","165.5120087","53841500"
"AAPL","2022-08-25","166.7469751","168.0905939","166.3221619","167.9819183","167.9819183","51218200"
"AAPL","2022-08-26","168.5154206","168.9896345","161.5898493","161.6491241","161.6491241","78961000"
"AAPL","2022-08-29","159.2089015","160.9378223","157.894935","159.436142","159.436142","73314000"
"AAPL","2022-08-30","160.1770798","160.601893","155.8201965","156.9958649","156.9958649","77906200"
"AAPL","2022-08-31","158.3790092","158.6457612","155.2471947","155.3262329","155.3262329","87991100"
"AAPL","2022-09-01","154.7532047","156.5117627","152.806933","156.057312","156.057312","74229900"
"AAPL","2022-09-02","157.825756","158.428409","153.103334","153.9332123","153.9332123","76957800"
"AAPL","2022-09-06","154.5852592","155.1977863","151.8387466","152.6686249","152.6686249","73714800"
"AAPL","2022-09-07","152.9551229","154.7828296","151.7596913","154.0813904","154.0813904","87449600"
"AAPL","2022-09-08","152.7772966","154.4765797","150.840899","152.599472","152.599472","84923800"
"AAPL","2022-09-09","153.5973184","155.9190179","152.8859898","155.4744263","155.4744263","68028800"
"AAPL","2022-09-12","157.6676685","162.2814146","157.3811683","161.4614105","161.4614105","104956000"
"AAPL","2022-09-13","157.9739571","158.6062475","151.5226138","151.9869537","151.9869537","122656600"
"AAPL","2022-09-14","152.9254988","155.2076868","151.7597196","153.4392395","153.4392395","87965400"
"AAPL","2022-09-15","152.7871882","153.3700929","149.5565872","150.5346527","150.5346527","90481100"
"AAPL","2022-09-16","149.3886168","149.5269299","146.5828144","148.8847504","148.8847504","162278800"
"AAPL","2022-09-19","147.5115231","152.6982856","147.3040611","152.6192474","152.6192474","81474200"
"AAPL","2022-09-20","151.5522297","156.1758651","151.2360921","155.0100708","155.0100708","107689800"
"AAPL","2022-09-21","155.4447996","156.8279454","151.7498585","151.8684082","151.8684082","101696800"
"AAPL","2022-09-22","150.5445432","152.6093649","149.0922486","150.9002075","150.9002075","86652500"
"AAPL","2022-09-23","149.3688667","149.6454928","146.7705411","148.6180115","148.6180115","96029900"
"AAPL","2022-09-26","147.8573034","151.9177978","147.8375401","148.9539337","148.9539337","93339400"
"AAPL","2022-09-27","150.9001673","152.8563128","148.1437659","149.9319611","149.9319611","84442700"
"AAPL","2022-09-28","145.8616134","148.8254772","143.0953376","148.0351105","148.0351105","146691400"
"AAPL","2022-09-29","144.3401536","144.9526805","138.9854271","140.7637482","140.7637482","128138200"
"AAPL","2022-09-30","139.5782105","141.3762949","136.337721","136.5353088","136.5353088","124925300"
"AAPL","2022-10-03","136.5452278","141.3466883","136.0314871","140.7341461","140.7341461","114311700"
"AAPL","2022-10-04","143.2830456","144.4587139","142.5223164","144.3401642","144.3401642","87830100"
"AAPL","2022-10-05","142.3346149","145.6047419","141.2873704","144.6365356","144.6365356","79471000"
"AAPL","2022-10-06","144.0536502","145.7628074","143.4707606","143.6782227","143.6782227","68402200"
"AAPL","2022-10-07","140.8230587","141.376326","137.7702822","138.4025726","138.4025726","85925600"
"AAPL","2022-10-10","138.7286072","140.1809019","136.9008999","138.7286072","138.7286072","74899000"
"AAPL","2022-10-11","138.2148552","139.6474016","136.5550986","137.3059387","137.3059387","77033700"
"AAPL","2022-10-12","137.4541376","138.6693177","136.4958204","136.673645","136.673645","70433700"
"AAPL","2022-10-13","133.3639876","141.8603876","132.7514456","141.2676239","141.2676239","113224000"
"AAPL","2022-10-14","142.571713","142.7791901","136.5254363","136.71315","136.71315","88598000"
"AAPL","2022-10-17","139.3707551","141.1786987","138.5803885","140.6946106","140.6946106","85250900"
"AAPL","2022-10-18","143.7375249","144.9329415","138.9163015","142.0184784","142.0184784","99136600"
"AAPL","2022-10-19","139.9832918","143.2040184","139.795578","142.1271515","142.1271515","61758300"
"AAPL","2022-10-20","141.2972729","144.1326978","140.9317194","141.6628113","141.6628113","64522000"
"AAPL","2022-10-21","141.1490692","146.069094","140.931718","145.4960785","145.4960785","86548600"
"AAPL","2022-10-24","145.4170388","148.4204142","144.2413705","147.6498108","147.6498108","75981900"
"AAPL","2022-10-25","148.282122","150.6532224","147.5609193","150.5050201","150.5050201","74732300"
"AAPL","2022-10-26","149.1416483","150.1592405","146.2568073","147.5510406","147.5510406","88194300"
"AAPL","2022-10-27","146.2864477","147.254639","142.3939041","143.0558319","143.0558319","109180200"
"AAPL","2022-10-28","146.4148876","155.6028696","146.0394751","153.8640747","153.8640747","164762400"
"AAPL","2022-10-31","151.3151106","152.3821033","150.0900416","151.4929352","151.4929352","97943200"
"AAPL","2022-11-01","153.2120045","153.5775429","147.3336775","148.8353577","148.8353577","80379300"
"AAPL","2022-11-02","147.1558307","150.3370456","143.2534131","143.2830505","143.2830505","93604600"
"AAPL","2022-11-03","140.3488264","141.0799182","137.0786991","137.2071381","137.2071381","97918500"
"AAPL","2022-11-04","140.6113245","141.1852905","132.9815678","136.9399414","136.9399414","140814800"
"AAPL","2022-11-07","135.6831577","137.7019217","134.2581408","137.4743195","137.4743195","83374600"
"AAPL","2022-11-08","138.9488278","139.9582023","136.0592166","138.0482941","138.0482941","89908500"
"AAPL","2022-11-09","137.0587215","137.1082042","133.1894067","133.4664917","133.4664917","74917800"
"AAPL","2022-11-10","139.7702118","145.3416138","138.0483134","145.3416138","145.3416138","118854000"
"AAPL","2022-11-11","144.3025233","148.4489072","142.8676007","148.1421356","148.1421356","93979700"
"AAPL","2022-11-14","147.4197451","148.7161102","145.8957627","146.7369232","146.7369232","73374100"
"AAPL","2022-11-15","150.6359444","151.9916829","147.0140281","148.4786224","148.4786224","89868300"
"AAPL","2022-11-16","147.5780809","148.3103704","145.7572174","147.2416077","147.2416077","64218300"
"AAPL","2022-11-17","144.9061704","149.9036207","144.6290854","149.151535","149.151535","80389400"
"AAPL","2022-11-18","150.724981","151.1109219","148.4093359","149.7155914","149.7155914","74829600"
"AAPL","2022-11-21","148.5973461","148.8051523","146.1827359","146.4697113","146.4697113","58724100"
"AAPL","2022-11-22","146.5884872","148.8546496","145.4009629","148.6171417","148.6171417","51804100"
"AAPL","2022-11-23","147.8947577","150.2499952","147.7859018","149.4979095","149.4979095","58301400"
"AAPL","2022-11-25","146.7666107","147.3306863","145.5889921","146.5686951","146.5686951","35195900"
"AAPL","2022-11-28","143.6296015","145.1139917","141.8879223","142.7191772","142.7191772","69246000"
"AAPL","2022-11-29","142.7884394","143.3030322","138.8894537","139.7009125","139.7009125","83763800"
"AAPL","2022-11-30","139.928537","147.1723698","139.0873914","146.4895477","146.4895477","111380900"
"AAPL","2022-12-01","146.6676665","147.5780908","145.0843108","146.7666168","146.7666168","71250400"
"AAPL","2022-12-02","144.4410811","146.4598453","144.1342944","146.2718201","146.2718201","65447400"
"AAPL","2022-12-05","146.2322468","149.3494605","144.2530596","145.1041107","145.1041107","68826400"
"AAPL","2022-12-06","145.5395025","145.7671048","140.4430877","141.4227905","141.4227905","64727200"
"AAPL","2022-12-07","140.7102889","141.8780018","138.5430769","139.4732971","139.4732971","69721100"
"AAPL","2022-12-08","140.8785518","142.0264841","139.6316693","141.1655273","141.1655273","62128300"
"AAPL","2022-12-09","140.8587379","144.0551358","139.4337208","140.6806183","140.6806183","76097000"
"AAPL","2022-12-12","141.214978","142.9962491","139.5920454","142.9863586","142.9863586","70462700"
"AAPL","2022-12-13","147.9442219","148.4093321","142.7389658","143.9561615","143.9561615","93886200"
"AAPL","2022-12-14","143.8374101","145.1337751","139.6910112","141.7196808","141.7196808","82291200"
"AAPL","2022-12-15","139.6415402","140.3243622","134.6144034","135.0795135","135.0795135","98931900"
"AAPL","2022-12-16","135.2675514","136.2175528","132.3383477","133.1102295","133.1102295","160156900"
"AAPL","2022-12-19","133.7039844","133.7930442","129.9534315","130.9924927","130.9924927","79592600"
